antenna_name,antenna_number,east_m,north_m,up_m
DSA001,1,411169.605009,-375417.782281,-24373.994367
DSA002,2,411175.337523,-375417.478951,-24374.346842
DSA003,3,411181.070037,-375417.175616,-24374.699322
DSA004,4,411186.802551,-375416.872277,-24375.051808
DSA005,5,411192.535064,-375416.568934,-24375.404298
DSA006,6,411198.267576,-375416.265586,-24375.756793
DSA007,7,411204.000088,-375415.962234,-24376.109293
DSA008,8,411209.732599,-375415.658878,-24376.461797
DSA009,9,411215.46511,-375415.355518,-24376.814307
DSA010,10,411221.19762,-375415.052154,-24377.166822
DSA011,11,411226.93013,-375414.748785,-24377.519342
DSA012,12,411232.66264,-375414.445412,-24377.871866
DSA013,13,411238.395148,-375414.142035,-24378.224396
DSA014,14,411244.127657,-375413.838654,-24378.57693
DSA015,15,411249.860164,-375413.535268,-24378.929469
DSA016,16,411255.592671,-375413.231878,-24379.282013
DSA017,17,411261.325178,-375412.928484,-24379.634562
DSA018,18,411267.057684,-375412.625086,-24379.987116
DSA019,19,411272.79019,-375412.321683,-24380.339675
DSA020,20,411278.522695,-375412.018277,-24380.692239
DSA021,21,411284.255199,-375411.714866,-24381.044808
DSA022,22,411289.99655,-375411.410982,-24381.397926
DSA023,23,411353.054059,-375408.073136,-24385.27656
DSA024,24,411358.786557,-375407.76967,-24385.629193
DSA025,25,411364.519054,-375407.4662,-24385.981831
DSA026,26,411370.251551,-375407.162726,-24386.334473
DSA027,27,411375.984047,-375406.859247,-24386.68712
DSA028,28,411381.716542,-375406.555764,-24387.039773
DSA029,29,411404.646519,-375405.34179,-24388.450431
DSA030,30,411427.576488,-375404.127749,-24389.861168
DSA031,31,411433.308979,-375403.824228,-24390.213865
DSA032,32,411439.041469,-375403.520703,-24390.566566
DSA033,33,411444.773959,-375403.217173,-24390.919272
DSA034,34,411450.506448,-375402.91364,-24391.271984
DSA035,35,411456.238937,-375402.610102,-24391.6247
DSA036,36,411479.168887,-375401.395908,-24393.035614
DSA037,37,411484.901373,-375401.092349,-24393.388354
DSA038,38,411490.633858,-375400.788786,-24393.7411
DSA039,39,411496.366344,-375400.485219,-24394.093851
DSA040,40,411502.098828,-375400.181647,-24394.446606
DSA041,41,411507.831312,-375399.878071,-24394.799367
DSA042,42,411513.563796,-375399.574491,-24395.152132
DSA043,43,411519.305125,-375399.270438,-24395.505447
DSA044,44,411525.037607,-375398.96685,-24395.858222
DSA045,45,411530.770089,-375398.663257,-24396.211002
DSA046,46,411536.502571,-375398.35966,-24396.563787
DSA047,47,411542.235052,-375398.056058,-24396.916577
DSA048,48,411547.967532,-375397.752453,-24397.269371
DSA049,49,411553.700012,-375397.448843,-24397.622171
DSA050,50,411559.432491,-375397.145229,-24397.974976
DSA051,51,411565.16497,-375396.841611,-24398.327785
DSA052,52,411366.962064,-375398.694494,-24385.620128
DSA053,53,411366.538282,-375390.063459,-24385.081427
DSA054,54,411366.114499,-375381.432423,-24384.542737
DSA055,55,411365.690716,-375372.801386,-24384.004059
DSA056,56,411365.267475,-375364.181413,-24383.466083
DSA057,57,411364.84369,-375355.550375,-24382.927428
DSA058,58,411364.419904,-375346.919335,-24382.388785
DSA059,59,411363.996661,-375338.299361,-24381.850844
DSA060,60,411363.572873,-375329.66832,-24381.312224
DSA061,61,411363.149085,-375321.037278,-24380.773617
DSA062,62,411362.725839,-375312.417301,-24380.235711
DSA063,63,411362.30205,-375303.786257,-24379.697127
DSA064,64,411361.878259,-375295.155213,-24379.158554
DSA065,65,411361.455011,-375286.535233,-24378.620683
DSA066,66,411361.031219,-375277.904187,-24378.082134
DSA067,67,411360.607427,-375269.273141,-24377.543597
DSA068,68,411360.184176,-375260.653159,-24377.005761
DSA069,69,411359.760382,-375252.02211,-24376.467247
DSA070,70,411359.336587,-375243.391061,-24375.928745
DSA071,71,411358.913335,-375234.771077,-24375.390945
DSA072,72,411358.489538,-375226.140026,-24374.852466
DSA073,73,411358.065741,-375217.508975,-24374.313999
DSA074,74,411357.642486,-375208.888988,-24373.776234
DSA075,75,411357.218687,-375200.257935,-24373.23779
DSA076,76,411356.794887,-375191.626881,-24372.699358
DSA077,77,411356.37163,-375183.006891,-24372.161629
DSA078,78,411355.947829,-375174.375836,-24371.62322
DSA079,79,411355.524027,-375165.744779,-24371.084823
DSA080,80,411355.100768,-375157.124788,-24370.547129
DSA081,81,411354.676964,-375148.49373,-24370.008755
DSA082,82,411354.25316,-375139.862671,-24369.470394
DSA083,83,411353.829355,-375131.231611,-24368.932044
DSA084,84,411353.406093,-375122.611616,-24368.394396
DSA085,85,411352.982286,-375113.980555,-24367.85607
DSA086,86,411352.558479,-375105.349493,-24367.317755
DSA087,87,411352.135214,-375096.729496,-24366.780142
DSA088,88,411351.711405,-375088.098432,-24366.241851
DSA089,89,411351.287596,-375079.467368,-24365.703572
DSA090,90,411350.864329,-375070.847368,-24365.165994
DSA091,91,411350.440518,-375062.216302,-24364.627738
DSA092,92,411350.016706,-375053.585235,-24364.089494
DSA093,93,411349.593437,-375044.965233,-24363.551952
DSA094,94,411349.169623,-375036.334164,-24363.013731
DSA095,95,411348.745809,-375027.703095,-24362.475522
DSA096,96,411348.322538,-375019.08309,-24361.938014
DSA097,97,411347.898722,-375010.452019,-24361.399829
DSA098,98,411347.474905,-375001.820947,-24360.861655
DSA099,99,411347.051632,-374993.20094,-24360.324183
DSA100,100,411346.627814,-374984.569867,-24359.786033
DSA101,101,411346.203995,-374975.938793,-24359.247894
DSA102,102,411345.780719,-374967.318783,-24358.710457
DSA103,103,411574.557814,-375770.43633,-24422.383379
DSA104,104,411938.577002,-375168.182112,-24409.151441
DSA105,105,411904.532851,-374313.195223,-24354.780038
DSA106,106,411880.903277,-373867.003028,-24325.604983
DSA107,107,411870.554447,-373695.691753,-24314.228012
DSA108,108,411867.428179,-373536.733658,-24304.051386
DSA109,109,411630.86401,-373553.757371,-24290.047579
DSA110,110,411236.651528,-373577.622636,-24266.265069
DSA111,111,411032.916779,-373586.63555,-24253.531761
DSA112,112,410875.905295,-373599.73472,-24244.865903
DSA113,113,410583.571553,-373611.180404,-24225.666504
DSA114,114,410177.505003,-373631.31519,-24202.370549
DSA115,115,410262.688855,-374178.234763,-24243.947007
DSA116,116,410387.545994,-375676.099178,-24343.330897
DSA117,117,410204.697932,-375673.009982,-24326.839799
