source_name,ra_deg,dec_deg,catalog_flux_jy,dsa_peak_jyb,snr,ratio,source_type,is_upper_limit,catalog
MS_1613396,350.128987,14.477073,0.072568,0.085202,9.98,1.1741,continuum,False,master
MS_1573124,345.791512,14.528157,0.089544,0.15436,18.08,1.7239,continuum,False,master
MS_1494806,337.448296,14.561156,0.050785,0.022149,2.59,0.4361,continuum,True,master
MS_1543779,342.832701,14.606585,0.16184,0.21824,25.56,1.3485,continuum,False,master
MS_1574787,345.982837,14.607593,0.058046,0.12129,14.20,2.0896,continuum,False,master
MS_1479136,335.714197,14.687153,0.15002,0.012207,1.43,0.0814,continuum,True,master
MS_1581052,346.663269,14.730145,0.093403,0.22836,26.74,2.4449,continuum,False,master
MS_1495762,337.553357,14.750012,0.12607,0.0469,5.49,0.3720,continuum,False,master
MS_1617115,350.518183,14.804938,0.10618,0.12823,15.02,1.2077,continuum,False,master
MS_1479727,335.779505,14.899992,0.093912,0.005191,0.61,0.0553,continuum,True,master
MS_1628666,351.720370,15.127720,0.28001,0.42444,49.70,1.5158,continuum,False,master
MS_1564624,344.914229,15.172448,0.072921,0.1037,12.14,1.4221,continuum,False,master
MS_1636480,352.530235,15.307804,0.062128,0.23246,27.22,3.7416,continuum,False,master
MS_1493267,337.288544,15.383410,0.078701,0.0098471,1.15,0.1251,continuum,True,master
MS_1629805,351.841504,15.410395,0.22685,0.21083,24.69,0.9293,continuum,False,master
MS_1522016,340.510233,15.446819,0.1659,0.31449,36.83,1.8957,continuum,False,master
MS_1536647,342.121225,15.450363,0.10117,0.1926,22.55,1.9037,continuum,False,master
MS_1630390,351.899927,15.552698,0.10208,0.22599,26.46,2.2139,continuum,False,master
MS_1607468,349.444346,15.661588,0.14193,0.06801,7.96,0.4792,continuum,False,master
MS_1608160,349.521381,15.787103,0.062025,0.41135,48.17,6.6319,continuum,False,master
MS_1608150,349.520103,15.787155,0.10846,0.41135,48.17,3.7927,continuum,False,master
MS_1594375,348.070557,16.252308,0.097749,0.060719,7.11,0.6212,continuum,False,master
MS_1604911,349.174062,16.276570,0.057773,0.1273,14.91,2.2034,continuum,False,master
MS_1604833,349.165346,16.301900,0.16334,0.43122,50.50,2.6400,continuum,False,master
MS_1497804,337.786054,16.389271,0.06257,0.086548,10.13,1.3832,continuum,False,master
MS_1528819,341.277318,16.419959,0.11167,0.27177,31.82,2.4337,continuum,False,master
MS_1500624,338.116137,16.435498,0.20216,0.17402,20.38,0.8608,continuum,False,master
MS_1526357,341.010137,16.548927,0.11764,1.017,119.09,8.6452,continuum,False,master
MS_1597638,348.401630,16.569837,0.054394,0.12622,14.78,2.3205,continuum,False,master
MS_1516703,339.925625,16.622321,0.082516,0.28625,33.52,3.4691,continuum,False,master
MS_1506835,338.851869,16.774411,0.051624,0.1831,21.44,3.5467,continuum,False,master
MS_1593783,348.013786,16.904734,0.054919,0.30571,35.80,5.5665,continuum,False,master
MS_1567452,345.179115,16.920696,0.32627,0.36723,43.00,1.1255,continuum,False,master
MS_1557784,344.278109,16.975305,0.28427,1.192,139.58,4.1931,continuum,False,master
MS_1501807,338.271460,17.030337,0.071376,0.042675,5.00,0.5979,continuum,False,master
MS_1637786,352.671695,17.043334,0.079026,0.35273,41.30,4.4634,continuum,False,master
MS_1539417,342.395172,17.062612,0.093951,0.83186,97.41,8.8542,continuum,False,master
MS_1539422,342.395775,17.064889,0.08999,0.83186,97.41,9.2440,continuum,False,master
MS_1570716,345.515719,17.173775,0.10437,0.17113,20.04,1.6395,continuum,False,master
MS_1632927,352.145851,17.253174,0.17853,0.40691,47.65,2.2792,continuum,False,master
MS_1501121,338.183433,17.302075,0.077212,0.03237,3.79,0.4192,continuum,False,master
MS_1502457,338.350442,17.436990,0.059176,0.16166,18.93,2.7319,continuum,False,master
MS_1586322,347.217246,17.486363,0.21154,0.70646,82.73,3.3395,continuum,False,master
MS_1490348,336.960053,17.636561,0.090815,0.13823,16.19,1.5221,continuum,False,master
MS_1611315,349.906787,17.658437,0.077859,0.081956,9.60,1.0526,continuum,False,master
MS_1523650,340.699794,17.695692,0.13059,0.21024,24.62,1.6099,continuum,False,master
MS_1530865,341.512240,17.733094,0.056714,0.73911,86.55,13.0322,continuum,False,master
NVSS_964870,352.238708,14.386528,0.0658,0.22944,26.87,3.4870,continuum,False,nvss
NVSS_964895,341.158000,14.388111,0.0582,0.057938,6.78,0.9955,continuum,False,nvss
NVSS_964905,337.775833,14.388611,0.0904,0.07807,9.14,0.8636,continuum,False,nvss
NVSS_965169,342.507667,14.403500,0.1275,0.09875,11.56,0.7745,continuum,False,nvss
NVSS_965737,345.199083,14.434806,0.226,0.11808,13.83,0.5225,continuum,False,nvss
NVSS_965741,338.346000,14.434889,0.0714,0.053089,6.22,0.7435,continuum,False,nvss
NVSS_965747,338.981875,14.435500,0.0798,0.068732,8.05,0.8613,continuum,False,nvss
NVSS_966199,349.142583,14.460222,0.1065,0.089893,10.53,0.8441,continuum,False,nvss
NVSS_966587,337.198875,14.479528,0.0653,0.019655,2.30,0.3010,continuum,True,nvss
NVSS_967826,344.080667,14.550778,0.3328,0.24133,28.26,0.7251,continuum,False,nvss
NVSS_967918,348.735542,14.555833,0.0863,0.058464,6.85,0.6775,continuum,False,nvss
NVSS_968278,346.967875,14.576250,0.0961,0.050209,5.88,0.5225,continuum,False,nvss
NVSS_968400,344.104917,14.583167,0.1518,0.089526,10.48,0.5898,continuum,False,nvss
NVSS_968710,335.647667,14.598194,0.1417,0.003721,0.44,0.0263,continuum,True,nvss
NVSS_969242,343.670000,14.625694,0.0786,0.060083,7.04,0.7644,continuum,False,nvss
NVSS_969499,351.134708,14.640444,0.2287,0.19054,22.31,0.8331,continuum,False,nvss
NVSS_969514,346.607542,14.641250,0.0939,0.069981,8.19,0.7453,continuum,False,nvss
NVSS_969531,338.503958,14.642083,0.053,0.031566,3.70,0.5956,continuum,False,nvss
NVSS_969560,351.151458,14.643917,0.0796,0.16366,19.17,2.0561,continuum,False,nvss
NVSS_969620,343.784500,14.647083,0.1312,0.096898,11.35,0.7385,continuum,False,nvss
NVSS_969764,343.817083,14.654056,0.1037,0.046672,5.47,0.4501,continuum,False,nvss
NVSS_970011,338.300708,14.667778,0.4094,0.26677,31.24,0.6516,continuum,False,nvss
NVSS_970373,337.942167,14.688472,0.0543,0.011001,1.29,0.2026,continuum,True,nvss
NVSS_970384,351.189708,14.689000,0.248,0.18779,21.99,0.7572,continuum,False,nvss
NVSS_970418,347.566833,14.691361,0.0807,0.053486,6.26,0.6628,continuum,False,nvss
NVSS_970643,335.774458,14.702944,0.0586,0.015995,1.87,0.2730,continuum,True,nvss
